waste_type,region,district,price_min,price_max,price_avg,source,recorded_date
rice_straw,Punjab,Ludhiana,1.20,2.80,1.95,manual,2024-11-15
rice_straw,Punjab,Ludhiana,1.10,2.70,1.90,manual,2024-11-08
rice_straw,Punjab,Ludhiana,1.15,2.60,1.85,manual,2024-11-01
rice_straw,Punjab,Amritsar,1.00,2.50,1.75,manual,2024-11-15
rice_straw,Punjab,Amritsar,1.00,2.40,1.70,manual,2024-11-08
rice_straw,Haryana,Karnal,1.10,2.60,1.80,manual,2024-11-15
rice_straw,Haryana,Karnal,1.05,2.50,1.75,manual,2024-11-08
wheat_straw,Punjab,Ludhiana,0.80,1.80,1.30,manual,2024-04-15
wheat_straw,Punjab,Ludhiana,0.75,1.70,1.25,manual,2024-04-08
wheat_straw,Haryana,Karnal,0.70,1.60,1.15,manual,2024-04-15
rice_husk,Punjab,Ludhiana,2.50,4.00,3.20,manual,2024-11-15
rice_husk,Punjab,Ludhiana,2.40,3.80,3.10,manual,2024-11-08
rice_husk,UP,Meerut,2.00,3.50,2.80,manual,2024-11-15
sugarcane_bagasse,UP,Meerut,0.80,1.50,1.10,manual,2024-02-15
sugarcane_bagasse,UP,Meerut,0.75,1.40,1.05,manual,2024-02-08
cotton_stalk,Punjab,Ludhiana,0.60,1.20,0.90,manual,2024-11-15
cotton_stalk,Haryana,Karnal,0.50,1.10,0.80,manual,2024-11-08
